title,description,type_specific,file,label,content,date,name,role,email,details
50 Years Journey in Brief,"The academy is regarded as one of the most highly respected training centres, offering certificates in a wide range of specialisations to assist individuals and business organisations in Egypt and the Arab World",college,html\plain_aast.edu.html,college,,,,,,
50 Years Journey in Brief,"The academy is regarded as one of the most highly respected training centres, offering certificates in a wide range of specialisations to assist individuals and business organisations in Egypt and the Arab World",college,html\plain_aast.edu_.html,college,,,,,,
50 عاماً من التميز,,announcement,html\plain_aast.edu_ar_.html,announcement,"نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC بدأنا أنشطتنا في الإسكندرية أصبحت الأكاديمية فرعا لإتحاد في مصر VMU عضو في الاتحاد الدولي للجامعات من بين المراكز الستة الأولى للمعيار ISO مستويات التعليم العالي أنشأت الأكاديمية حرمًا جامعيًا جديدًا على أحدث طراز في القرية الذكية رقم 1 لجودة التعليم في مصر وفقًا لـ تصنيفات التأثير نحن نفخر بأنفسنا في الأكاديمية لدعم طلابنا وأعضاء هيئة التدريس والموظفين لدينا ويشرفنا أن نشارك نجاحهم وجوائزهم (AAM Team) (ROV Team) إنجازات وجوائز الأكاديمية إنجازات وجوائز الأكاديمية إنجازات وجوائز الأكاديمية الشؤون البحرية بالأكاديمية دعم قطاع التعليم والتدريب البحري تنظم كلية اللغة والإعلام بالأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري المؤتمر الدولي الثالث، LANACOM 2025، تحت عنوان ""الحوار بين الثقافات وآ نحن سعداء بالإعلان عن مؤتمر MARLOG 14 القادم، المقرر عقده في الفترة من 23 إلى 25 فبراير 2025. سيجمع هذا الحدث نخبة من المحترفين والباحثين والمبتكرين في قطاعات هذا إعلان ومعلومات مطلوبة للأسبوع الدولي الثالث لتدريب الموظفين (ESOGU ISTW 2025) في الفترة من 12 إلى 16 مايو 2025، ضمن شراكة برنامج إيراسموس+ ICM بين ESOGU وAASTMT. هذا إعلان ومعلومات مطلوبة للأسبوع الدولي الثالث لتدريب الموظفين (ESOGU ISTW 2025) في الفترة من 12 إلى 16 مايو 2025، ضمن شراكة برنامج إيراسموس+ ICM بين ESOGU وAASTMT. هذا إعلان ومعلومات مطلوبة للأسبوع الدولي الثالث لتدريب الموظفين (ESOGU ISTW 2025) في الفترة من 12 إلى 16 مايو 2025، ضمن شراكة برنامج إيراسموس+ ICM بين ESOGU وAASTMT. مناقصة لشراء شاحنة نقل النفايات مناقصة لشراء شاحنة نقل النفايات شروط التعاقد مع مستشار لتقديم الدعم الفني لخمسة فرق فائزة في مسابقة الوطنية شروط التعاقد مع مستشار لتقديم الدعم الفني لخمسة فرق فائزة في مسابقة الوطنية مشروع يون جرين لدعم اعضاء هيئة التدريس مشروع يون جرين لدعم اعضاء هيئة التدريس إعلان عن الاختصاصات الخاصة بمستشار رئيسي لتجميع وصياغة ورقة السياسة إعلان عن الاختصاصات الخاصة بمستشار رئيسي لتجميع وصياغة ورقة السياسة إعلان طلب تقديم خدمات تصميم وطباعة دراسة حالة لمشروع يونيجرين إعلان طلب تقديم خدمات تصميم وطباعة دراسة حالة لمشروع يونيجرين تقديم الدعم لجميع الطلاب ، بالإضافة إلى فرص لا حصر لها لتكوين صداقات جديدة تتوفر مرافق رياضية رائعة ، مهما كانت الرياضة التي تمارسها للتواصل واكتساب خبرات تعليمية قيمة خارج الفصل الدراسي تعد الأكاديمية واحدة من أكبر مراكز التدريب ، حيث تقدم شهادات في مجموعة واسعة من التخصصات لمساعدة الأفراد والمؤسسات في مصر والعالم العربي. كلية الإدارة والتكنولوجيا ككلية الهندسة والتكنولوجيا كلية اللغة والإعلام كلية الإدارة والتكنولوجيا توظيف المعرفة العلمية والخبرة والتطوير التكنولوجي في جميع مجالات الأكاديمية قراءة المزيد عن البحث والابتكار تعرف على مشاريعنا البحثية استكشف تصنيف الأكاديمية قائمة كاملة بالمقالات البحثية بالأكاديمية ناشر لمجلات أكاديمية عالمية كليات, معاهد، مراكز الشركات الناشئة ، المسابقات مسابقات ، معلوماتية ، روبوتات خدمات التدريب والاستشارات على مدار 50 عامًا ، حققت الأكاديمية العديد من الإنجازات في التعليم والتدريب والبحث في مجالات النقل البحري وعلوم الهندسة والإدارة. ويرجع ذلك إلى التطبيق المنهجي للتكنولوجيا الحديثة في هذه المجالات تاريخ الإشادة بالأكاديمية #1848 Worldwide #101 Arab Region Exceptional Performance & Quality standards #1 Egypt in Quality Education بدء الدراسة بالفصل الدراسي الأول بدء التسجيل وسداد المصروفات بالفصل الدراسي الأول إعلان نتائج الفصل الدراسي الصيفي",,,,,
الحياة الطلابية في الاكاديمية,,news,html\plain_aast.edu_ar_aastlife_.html,news,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC تجربة الحياة الطلابية بالأكاديمية العربية تتميز بالإختلاف والتنوع ، حيث يمكنك العثور على فرصة للانضمام إلى النوادي والمنظمات والمؤسسات الاجتماعية والثقافية المختلفة والاستمتاع بتجربة الحياة الواقعية فحتما ستجد مجتمعا يناسب تطلعاتك. سيكون لديك الفرصة لاستكشاف مواهبك ومهاراتك واهتماماتك وشغفك. التنمية المستدامة جولة إفتراضية الخدمات بالأكاديمية المكتبات سنوات من الخبرة الكليات برامج البكالوريوس طلاب البكالوريوس رحلات علمية وترفيهية حفلات موسيقية أنشطة ترفيهية وثقافية أنشطة فنية حفلات موسيقية مسابقات رياضية الحياة الطلابية بالأكاديمية عبارة عن مزيج من تعلم تكوين الصداقات والمشاركة مع التركيز على حياتك المهنية وأن تصبح جادًا نحو ما تريد تحقيقه في مستقبلك. 2M+ Customers 2M+ Customers 2M+ Customers 2M+ Customers 2M+ Customers,"var $zoho=$zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode: ""be75dc65916736ef4d8e6bed223f7171613267f7632ea1d4c4880f901dc96e8e"", values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript"";s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget"";t=d.getElementsByTagName(""script"")[0];t.parentNode.insertBefore(s,t);",,,,
عن الاكاديمية,,news,html\plain_aast.edu_ar_about_.html,news,"نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC على مدار 50 عامًا ، حققت الأكاديمية العديد من الإنجازات في التعليم والتدريب والبحث في مجالات النقل البحري وعلوم الهندسة والإدارة. ويرجع ذلك إلى التطبيق المنهجي للتكنولوجيا الحديثة في هذه المجالات على مدار أكثر من 50 عامًا ، حققت الأكاديمية العديد من الإنجازات في التعليم والتدريب والبحث في مجالات النقل البحري وعلوم الهندسة والإدارة. ويرجع ذلك إلى التطبيق المنهجي للتكنولوجيا الحديثة في هذه المجالات. وبذلك تمكنت الأكاديمية من الانتقال من الإقليمية إلى العالمية. فيما يتعلق بمجالات ممارسة الأكاديمية المتنوعة وتطلعاتها المستقبلية ورغبتها في ضمان تحقيق تنميتها المستدامة .. أهلا بكم وشكرا على اهتمامكم بالأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري (AASTMT). منذ إنشائها في عام 1972 ، كرست الأكاديمية جهودها لتعزيز بيئة مهنية عالية لتطوير المعرفة وتطوير الإمكانات البشرية وفتح أرضية فكرية وأكاديمية جديدة بهدف تحسين حياة البشر والمجتمعات في جميع أنحاء العالم العربي والعالم. العالم أجمع. كلمات من "" كان العمل عن كثب مع مؤسسة عالمية مثل الأكاديمية العربية أحد أبرز 17 عامًا في مصر. القيادة الملهمة ، والكفاءات العالية ، والموظفين المتفانين ، والإبداع ، والاحتراف ، والانفتاح ، وقبل كل شيء ، الالتزام بالتعليم ."" القنصل العام لصاحبة الجلالة البريطانية "" كنت سعيدًا بزيارة مبنى المحاكاة الذي لا مثيل له في العالم بأسره. لقد شاهدت أيضًا السباق البحري للطلاب وهم يشعرون بالسعادة والفخر بالتقدم الذي حققته الأكاديمية في جميع المجالات بالإضافة إلى الانضباط الواضح للطلاب. لم يكن هذا ليتم تحقيقه بدون قيادة منضبطة وعقلانية ومنظمة ."" القائد العام للقوات البحرية "" تتميز الأكاديمية في عالمنا العربي بالمستوى العالي لطلابها في جميع التخصصات التي تقدمها الأكاديمية. وقعنا مذكرة تفاهم بين الاكاديمية ووزارة الاشغال العامة والنقل في لبنان للاشراف والتعاون مع المعهد البحري التابع للوزارة لتدريب البحارة وادارة المعهد.."" وزير الأشغال العامة والنقل لبنان","var $zoho=$zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode: ""be75dc65916736ef4d8e6bed223f7171613267f7632ea1d4c4880f901dc96e8e"", values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript"";s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget"";t=d.getElementsByTagName(""script"")[0];t.parentNode.insertBefore(s,t);",,,,
عن الاكاديمية,,news,html\plain_aast.edu_ar_about_ranking-details.php_rank=1&&lang_id=1.html,news,"نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC The THE Impact Rankings are the only global performance tables that assess universities against the United Nations Sustainable Development Goals (SDGs), across the broad areas of research, stewardship, outreach and teaching. THE’s rich data have become a vital resource for students, helping them to make one of the most important decisions of their lives – who to trust with their education. To help students get the most out of THE’s rankings, they have a dedicated Student section, providing student-focused news and advice. THE (Times Higher Education) provides a list of the world’s best universities, with an emphasis on the research mission. It is the only global university league table to judge research-intensive universities across all of their core missions: Teaching (the learning environment) Research (volume, income, and reputation) Citations (research influence) Industry income (knowledge transfer) International outlook (staff, students, and research). Within the results of the Times Higher Education Impact Rankings 2022 that is considered to be one of the top 4 ratings for the world universities, and the only global performance tables that assess universities against the United Nations’ Sustainable Development Goals (SDGs), the Arab Academy for Science, Technology and Maritime Transport (AASTMT) celebrated with the current evaluation that showed the remarkable progress at local, regional and international levels, where AASTMT has achieved a distinguished ranking in the fourth goal ""Quality of education"" and reached the 1st position in Egypt, the 14th at the level of Arab universities and the 112th at the level of international universities, as well as a distinguished ranking on the submitted sustainable development goals, as AASTMT has reached position 408 in the evaluation at level of international universities where the overall ranking includes 1,406 universities from 106 countries/regions, and position 6 in Egypt from about 36 participated universities. The Times Higher Education Impact Rankings are global performance tables that assess universities against the United Nations’ Sustainable Development Goals (SDGs). We use carefully calibrated indicators to provide comprehensive and balanced comparison across four broad areas: research, stewardship, outreach and teaching.","var $zoho=$zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode: ""be75dc65916736ef4d8e6bed223f7171613267f7632ea1d4c4880f901dc96e8e"", values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript"";s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget"";t=d.getElementsByTagName(""script"")[0];t.parentNode.insertBefore(s,t);",,,,
عن الاكاديمية,"QS Stars is an opt-in university rating system that helps you select the right university based on the topics that matter to you. Each institution receives an overall rating of 0 to 5+ Stars, as well as 0 to 5 Stars in at least eight of 13 key categories. It shows the strengths and weaknesses of a university in specific areas. Using QS Stars when searching for your future program will make your decision easier. The QS World University Rankings has a consistent methodological framework; compiled using six simple metrics that measure university performance. Thus, universities continue to be evaluated according to the following six metrics: - Academic Reputation - Employer Reputation - Faculty/Student Ratio - Citations per faculty - International Faculty Ratio - International Student Ratio",college,html\plain_aast.edu_ar_about_ranking-details.php_rank=2&&lang_id=1.html,college,,,,,,
عن الاكاديمية,,news,html\plain_aast.edu_ar_about_ranking-details.php_rank=3&&lang_id=1.html,news,"نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC The Ranking Web (Webometrics) is a Ranking of Universities which uses both webometric (all missions) and bibliometric (research mission) indicators. It promotes Open Access to the knowledge generated by the University. Webometrics is providing reliable, multidimensional, updated and useful information about the university’s global performance, taking into account its activities and outputs and their relevance and impact. It promotes academic web presence, supporting the Open Access initiatives for increasing significantly the transfer of scientific and cultural knowledge generated by the universities to the whole Society. It intends to motivate both institutions and scholars to have a web presence that reflects accurately their activities. If the web performance of an institution is below the expected position according to their academic excellence, university authorities should reconsider their web policy, promoting substantial increases in the volume and quality of their electronic publications. Webometrics also measures other missions like teaching, using link analysis for quality evaluation as it is a far more powerful tool than citation analysis or global surveys. Candidate students should use additional criteria if they are trying to choose a university. Webometrics ranking correlates well with the quality of education provided and academic prestige. The Webometrics Ranking of World Universities, also known as Ranking Web of Universities, is a ranking system based on university web presence, visibility and web access. This ranking system measures how strongly a university is present in the web by its own web domain, sub-pages, rich files, scholarly articles etc. The Ranking Web (Webometrics) is a Ranking of Universities which uses both webometric (all missions) and bibliometric (research mission) indicators. It promotes Open Access to the knowledge generated by the University. Webometrics is providing reliable, multidimensional, updated and useful information about the university’s global performance, taking into account its activities and outputs and their relevance and impact. It promotes academic web presence, supporting the Open Access initiatives for increasing significantly the transfer of scientific and cultural knowledge generated by the universities to the whole Society. It intends to motivate both institutions and scholars to have a web presence that reflects accurately their activities. If the web performance of an institution is below the expected position according to their academic excellence, university authorities should reconsider their web policy, promoting substantial increases in the volume and quality of their electronic publications. Webometrics also measures other missions like teaching, using link analysis for quality evaluation as it is a far more powerful tool than citation analysis or global surveys. Candidate students should use additional criteria if they are trying to choose a university. Webometrics ranking correlates well with the quality of education provided and academic prestige.","var $zoho=$zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode: ""be75dc65916736ef4d8e6bed223f7171613267f7632ea1d4c4880f901dc96e8e"", values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript"";s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget"";t=d.getElementsByTagName(""script"")[0];t.parentNode.insertBefore(s,t);",,,,
القبول والتسجيل بالأكاديمية,تقدم الأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري لطلابها الفرصة لاكتساب مناهج بدرجة أجنبية بالإضافة إلى شهادة الأكاديمية أو درجة مشتركة خلال نفس فترة الدراسة. تسعى الأكاديمية دائمًا جاهدة لتوسيع شبكتها في جميع أنحاء العالم من خلال التعاون مع الجامعات والمؤسسات الأكثر شهرة لتبادل الخبرات المعرفية وتحقيق أقصى فائدة.,college,html\plain_aast.edu_ar_admission_.html,college,,,,,,
تنويهات الاكاديمية,,announcement,html\plain_aast.edu_ar_announcements_index.php_unit_id=1.html,announcement,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC هذا إعلان ومعلومات مطلوبة للأسبوع الدولي الثالث لتدريب الموظفين (ESOGU ISTW 2025) في الفترة من 12 إلى 16 مايو 2025، ضمن شراكة برنامج إيراسموس+ ICM بين ESOGU وAASTMT. هذا إعلان ومعلومات مطلوبة للأسبوع الدولي الثالث لتدريب الموظفين (ESOGU ISTW 2025) في الفترة من 12 إلى 16 مايو 2025، ضمن شراكة برنامج إيراسموس+ ICM بين ESOGU وAASTMT. مناقصة لشراء شاحنة نقل النفايات مناقصة لشراء شاحنة نقل النفايات شروط التعاقد مع مستشار لتقديم الدعم الفني لخمسة فرق فائزة في مسابقة الوطنية شروط التعاقد مع مستشار لتقديم الدعم الفني لخمسة فرق فائزة في مسابقة الوطنية مشروع يون جرين لدعم اعضاء هيئة التدريس مشروع يون جرين لدعم اعضاء هيئة التدريس إعلان عن الاختصاصات الخاصة بمستشار رئيسي لتجميع وصياغة ورقة السياسة إعلان عن الاختصاصات الخاصة بمستشار رئيسي لتجميع وصياغة ورقة السياسة إعلان طلب تقديم خدمات تصميم وطباعة دراسة حالة لمشروع يونيجرين إعلان طلب تقديم خدمات تصميم وطباعة دراسة حالة لمشروع يونيجرين,,,,,
